Trade ID,Order ID,Client ID,Trade Type,Quantity,Price,Trade Value,Currency,Trade Date,Settlement Date,,Counterparty,Trading Venue,Trader Name,Confirmation Status,Country of Trade,Ops Team Notes
TID00027,OID00027,CID8898,Sell,224,1254.35,280974.4,USD,3/24/2024,3/26/2024,,Citibank,IEX,Trader C,Pending,DE,Manual Check
TID00028,OID00028,CID8625,Sell,439,968.95,425369.05,GBP,3/20/2024,3/22/2024,,Citibank,NYSE,Trader B,Failed,US,Reviewed
TID00029,OID00029,CID2057,Sell,356,1077.01,383415.56,GBP,3/1/2024,3/3/2024,,Citibank,NASDAQ,Trader A,Pending,DE,Manual Check
TID00030,OID00030,CID6126,Sell,819,983.19,805232.61,GBP,2/12/2024,2/14/2024,,Morgan Stanley,IEX,Trader D,Settled,DE,Escalated
TID00031,OID00031,CID4521,Buy,605,318.22,192523.1,EUR,1/7/2024,1/9/2024,,JPMorgan,NASDAQ,Trader D,Failed,UK,Clean
TID00032,OID00032,CID9833,Buy,803,1392.03,1117800.09,GBP,2/11/2024,2/13/2024,,JPMorgan,NYSE,Trader C,Settled,US,Escalated
TID00033,OID00033,CID2486,Buy,942,563.3,530628.6,USD,1/21/2024,1/23/2024,,Morgan Stanley,IEX,Trader A,Confirmed,US,Escalated
TID00034,OID00034,CID3303,Buy,523,490.53,256547.19,USD,4/6/2024,4/8/2024,,Citibank,IEX,Trader B,Settled,DE,Reviewed
TID00035,OID00035,CID6632,Sell,54,1381.88,74621.52,USD,4/29/2024,5/1/2024,,Citibank,BATS,Trader C,Pending,DE,Reviewed
TID00036,OID00036,CID8148,Buy,524,598.92,313834.08,USD,3/24/2024,3/26/2024,,Goldman Sachs,BATS,Trader D,Pending,UK,Escalated
TID00037,OID00037,CID3448,Buy,109,1297.53,141430.77,USD,4/13/2024,4/15/2024,,Citibank,NASDAQ,Trader B,Failed,DE,Manual Check
TID00038,OID00038,CID1248,Buy,514,1371.07,704729.98,GBP,3/2/2024,3/4/2024,,Goldman Sachs,BATS,Trader D,Settled,UK,Manual Check
TID00039,OID00039,CID5796,Buy,148,1271.71,188213.08,EUR,2/3/2024,2/5/2024,,JPMorgan,IEX,Trader C,Pending,US,Escalated
TID00040,OID00040,CID4309,Buy,228,309.17,70490.76,USD,4/19/2024,4/21/2024,,Goldman Sachs,BATS,Trader C,Settled,US,Clean
TID00041,OID00041,CID4536,Sell,276,770.92,212773.92,USD,3/29/2024,3/31/2024,,Morgan Stanley,IEX,Trader C,Failed,DE,Clean
TID00042,OID00042,CID1242,Buy,274,496.97,136169.78,EUR,3/11/2024,3/13/2024,,Morgan Stanley,NASDAQ,Trader D,Pending,DE,Manual Check
TID00043,OID00043,CID1487,Sell,708,947.47,670808.76,EUR,4/2/2024,4/4/2024,,Citibank,NASDAQ,Trader D,Settled,US,Escalated
TID00044,OID00044,CID7067,Sell,815,474.82,386978.3,EUR,2/16/2024,2/18/2024,,JPMorgan,BATS,Trader C,Confirmed,UK,Manual Check
TID00045,OID00045,CID7892,Buy,230,368.08,84658.4,EUR,2/29/2024,3/2/2024,,Goldman Sachs,BATS,Trader A,Pending,DE,Clean
TID00046,OID00046,CID6879,Buy,612,739.77,452739.24,GBP,3/25/2024,3/27/2024,,Morgan Stanley,IEX,Trader A,Pending,US,Manual Check
TID00047,OID00047,CID4297,Sell,622,1130.32,703059.04,EUR,1/20/2024,1/22/2024,,JPMorgan,IEX,Trader A,Failed,US,Manual Check
TID00048,OID00048,CID5807,Sell,975,1438.69,1402722.75,GBP,2/11/2024,2/13/2024,,JPMorgan,NASDAQ,Trader B,Failed,UK,Escalated
TID00049,OID00049,CID5829,Buy,426,672.88,286646.88,USD,2/26/2024,2/28/2024,,Citibank,NASDAQ,Trader B,Settled,UK,Escalated
TID00050,OID00050,CID9833,Buy,973,1378.87,1341640.51,USD,4/21/2024,4/23/2024,,Citibank,NYSE,Trader C,Pending,UK,Reviewed
TID00051,OID00051,CID6818,Sell,491,1253.7,615566.7,USD,4/7/2024,4/9/2024,,Citibank,NASDAQ,Trader D,Settled,DE,Manual Check
TID00052,OID00052,CID8422,Buy,390,1051.69,410159.1,USD,3/1/2024,3/3/2024,,Goldman Sachs,NASDAQ,Trader C,Pending,US,Clean
TID00053,OID00053,CID6348,Buy,583,941.33,548795.39,EUR,4/7/2024,4/9/2024,,JPMorgan,NASDAQ,Trader C,Failed,US,Clean
TID00054,OID00054,CID4789,Sell,658,830.51,546475.58,GBP,4/25/2024,4/27/2024,,Morgan Stanley,IEX,Trader C,Confirmed,UK,Clean
TID00055,OID00055,CID8687,Buy,474,331.35,157059.9,EUR,2/2/2024,2/4/2024,,Citibank,NASDAQ,Trader A,Failed,UK,Clean
TID00056,OID00056,CID3084,Sell,773,262.34,202788.82,EUR,2/15/2024,2/17/2024,,Morgan Stanley,NASDAQ,Trader B,Settled,UK,Manual Check
TID00057,OID00057,CID9707,Buy,176,1489.09,262079.84,USD,4/11/2024,4/13/2024,,Morgan Stanley,NASDAQ,Trader B,Pending,US,Reviewed
TID00058,OID00058,CID6778,Sell,286,974.9,278821.4,USD,1/30/2024,2/1/2024,,Morgan Stanley,NYSE,Trader B,Pending,US,Reviewed
TID00059,OID00059,CID5742,Buy,229,635.42,145511.18,GBP,2/26/2024,2/28/2024,,Goldman Sachs,NYSE,Trader A,Confirmed,DE,Reviewed
TID00060,OID00060,CID9195,Sell,719,1308.69,940948.11,USD,1/15/2024,1/17/2024,,Goldman Sachs,NASDAQ,Trader C,Pending,DE,Clean
TID00061,OID00061,CID8459,Buy,813,888.83,722618.79,GBP,4/29/2024,5/1/2024,,Morgan Stanley,IEX,Trader C,Confirmed,DE,Escalated
TID00062,OID00062,CID7015,Sell,832,206.06,171441.92,EUR,1/7/2024,1/9/2024,,JPMorgan,IEX,Trader A,Failed,US,Reviewed
TID00063,OID00063,CID2807,Buy,843,312.69,263597.67,EUR,3/25/2024,3/27/2024,,Citibank,NASDAQ,Trader B,Settled,UK,Clean
TID00064,OID00064,CID4183,Sell,710,835.16,592963.6,EUR,1/16/2024,1/18/2024,,Goldman Sachs,IEX,Trader D,Pending,UK,Reviewed
TID00065,OID00065,CID4381,Buy,713,234.84,167440.92,GBP,2/13/2024,2/15/2024,,Morgan Stanley,IEX,Trader C,Confirmed,US,Reviewed
TID00066,OID00066,CID5063,Sell,721,412.02,297066.42,EUR,4/26/2024,4/28/2024,,JPMorgan,BATS,Trader A,Failed,DE,Manual Check
TID00067,OID00067,CID4537,Buy,999,222.19,221967.81,EUR,2/21/2024,2/23/2024,,Citibank,NYSE,Trader B,Failed,US,Escalated
TID00068,OID00068,CID5248,Buy,378,1115.53,421670.34,EUR,2/13/2024,2/15/2024,,JPMorgan,BATS,Trader A,Pending,US,Escalated
TID00069,OID00069,CID4999,Buy,309,1139.16,352000.44,USD,4/7/2024,4/9/2024,,Goldman Sachs,IEX,Trader A,Settled,DE,Manual Check
TID00070,OID00070,CID4942,Buy,634,383.58,243189.72,USD,4/18/2024,4/20/2024,,JPMorgan,NASDAQ,Trader B,Settled,US,Reviewed
TID00071,OID00071,CID8418,Sell,312,309.51,96567.12,USD,3/8/2024,3/10/2024,,Goldman Sachs,IEX,Trader A,Confirmed,DE,Reviewed
TID00072,OID00072,CID9866,Buy,518,622.86,322641.48,GBP,4/12/2024,4/14/2024,,Citibank,IEX,Trader B,Confirmed,US,Escalated
TID00073,OID00073,CID1942,Sell,423,795.75,336602.25,EUR,4/13/2024,4/15/2024,,Morgan Stanley,BATS,Trader C,Failed,UK,Manual Check
TID00074,OID00074,CID8668,Buy,872,1025.21,893983.12,USD,4/29/2024,5/1/2024,,Goldman Sachs,NYSE,Trader C,Settled,DE,Clean
TID00075,OID00075,CID7322,Buy,889,523.54,465427.06,GBP,2/22/2024,2/24/2024,,Morgan Stanley,BATS,Trader B,Confirmed,US,Manual Check
TID00076,OID00076,CID8651,Sell,924,620.21,573074.04,USD,1/14/2024,1/16/2024,,JPMorgan,NYSE,Trader B,Confirmed,DE,Reviewed
TID00077,OID00077,CID9471,Sell,629,1266.91,796886.39,EUR,4/12/2024,4/14/2024,,Goldman Sachs,NYSE,Trader A,Confirmed,UK,Reviewed
TID00078,OID00078,CID7729,Buy,394,711.11,280177.34,GBP,4/15/2024,4/17/2024,,JPMorgan,NYSE,Trader D,Settled,DE,Manual Check
TID00079,OID00079,CID4796,Buy,479,371.32,177862.28,GBP,1/10/2024,1/12/2024,,JPMorgan,NASDAQ,Trader D,Failed,US,Reviewed
TID00080,OID00080,CID5309,Sell,147,409.74,60231.78,GBP,2/25/2024,2/27/2024,,Goldman Sachs,BATS,Trader B,Confirmed,US,Clean
TID00081,OID00081,CID3938,Sell,211,223.33,47122.63,GBP,3/15/2024,3/17/2024,,JPMorgan,NASDAQ,Trader C,Failed,DE,Clean
TID00082,OID00082,CID6006,Buy,826,125.6,103745.6,USD,3/29/2024,3/31/2024,,JPMorgan,NYSE,Trader D,Settled,UK,Reviewed
TID00083,OID00083,CID7938,Sell,703,505.37,355275.11,EUR,4/6/2024,4/8/2024,,Goldman Sachs,BATS,Trader C,Pending,UK,Reviewed
TID00084,OID00084,CID6307,Buy,49,1040.21,50970.29,GBP,4/16/2024,4/18/2024,,JPMorgan,BATS,Trader C,Pending,DE,Clean
TID00085,OID00085,CID6882,Sell,601,963.33,578961.33,GBP,4/19/2024,4/21/2024,,JPMorgan,NYSE,Trader C,Settled,US,Manual Check
TID00086,OID00086,CID2269,Sell,942,1102.78,1038818.76,EUR,3/30/2024,4/1/2024,,JPMorgan,BATS,Trader C,Failed,UK,Escalated
TID00087,OID00087,CID4080,Buy,819,1176.15,963266.85,GBP,4/4/2024,4/6/2024,,Morgan Stanley,NYSE,Trader B,Settled,DE,Escalated
TID00088,OID00088,CID6831,Buy,350,1259.25,440737.5,EUR,3/26/2024,3/28/2024,,Morgan Stanley,NASDAQ,Trader A,Failed,DE,Manual Check
TID00089,OID00089,CID8887,Buy,811,1070.61,868264.71,GBP,1/28/2024,1/30/2024,,Citibank,BATS,Trader D,Settled,US,Manual Check
TID00090,OID00090,CID7019,Buy,269,861.9,231851.1,USD,1/22/2024,1/24/2024,,Goldman Sachs,NYSE,Trader A,Pending,DE,Escalated
TID00091,OID00091,CID1597,Sell,454,172.26,78206.04,EUR,3/29/2024,3/31/2024,,Goldman Sachs,NASDAQ,Trader D,Pending,DE,Escalated
TID00092,OID00092,CID1821,Buy,434,986.09,427963.06,EUR,3/1/2024,3/3/2024,,Goldman Sachs,NASDAQ,Trader D,Settled,UK,Manual Check
TID00093,OID00093,CID4372,Buy,562,1488.33,836441.46,GBP,3/22/2024,3/24/2024,,Goldman Sachs,NASDAQ,Trader B,Pending,DE,Escalated
TID00094,OID00094,CID9337,Sell,310,249.95,77484.5,USD,3/14/2024,3/16/2024,,Goldman Sachs,NYSE,Trader D,Confirmed,UK,Reviewed
TID00095,OID00095,CID1583,Sell,836,814.11,680595.96,EUR,4/12/2024,4/14/2024,,Citibank,IEX,Trader A,Pending,DE,Reviewed
TID00096,OID00096,CID3007,Buy,159,816.02,129747.18,USD,4/23/2024,4/25/2024,,Goldman Sachs,BATS,Trader C,Confirmed,UK,Reviewed
TID00097,OID00097,CID6559,Sell,711,202.67,144098.37,USD,1/4/2024,1/6/2024,,Morgan Stanley,BATS,Trader A,Settled,DE,Clean
TID00098,OID00098,CID9878,Sell,597,1130.86,675123.42,EUR,3/12/2024,3/14/2024,,JPMorgan,NYSE,Trader B,Settled,UK,Escalated
TID00099,OID00099,CID4865,Sell,532,146.46,77916.72,EUR,2/18/2024,2/20/2024,,Citibank,NYSE,Trader A,Failed,DE,Escalated
TID00100,OID00100,CID2481,Sell,377,244.94,92342.38,USD,2/24/2024,2/26/2024,,Morgan Stanley,NASDAQ,Trader C,Failed,DE,Escalated
TID00101,OID00101,CID4116,Sell,991,462.73,458565.43,USD,4/13/2024,4/15/2024,,JPMorgan,BATS,Trader A,Pending,UK,Escalated
TID00102,OID00102,CID1055,Buy,496,1227,608592,GBP,4/12/2024,4/14/2024,,Morgan Stanley,IEX,Trader D,Settled,US,Manual Check
TID00103,OID00103,CID9715,Buy,476,1339.49,637597.24,EUR,1/30/2024,2/1/2024,,Morgan Stanley,BATS,Trader A,Settled,DE,Clean
TID00104,OID00104,CID9246,Sell,179,772.25,138232.75,EUR,3/2/2024,3/4/2024,,Morgan Stanley,BATS,Trader B,Pending,US,Clean
TID00105,OID00105,CID6045,Sell,234,801.36,187518.24,USD,1/26/2024,1/28/2024,,Morgan Stanley,IEX,Trader A,Failed,US,Escalated
TID00106,OID00106,CID8160,Buy,386,489.48,188939.28,USD,3/1/2024,3/3/2024,,JPMorgan,NYSE,Trader B,Pending,US,Clean
TID00107,OID00107,CID2723,Sell,164,200.96,32957.44,EUR,3/24/2024,3/26/2024,,Morgan Stanley,NYSE,Trader A,Settled,DE,Escalated
TID00108,OID00108,CID2116,Buy,241,1343.78,323850.98,EUR,2/12/2024,2/14/2024,,JPMorgan,NYSE,Trader B,Settled,DE,Manual Check
TID00109,OID00109,CID6269,Sell,926,502.87,465657.62,GBP,1/27/2024,1/29/2024,,Morgan Stanley,IEX,Trader D,Confirmed,DE,Escalated
TID00110,OID00110,CID9666,Buy,508,724.18,367883.44,GBP,2/5/2024,2/7/2024,,JPMorgan,BATS,Trader A,Settled,UK,Escalated
TID00111,OID00111,CID7178,Sell,939,269.84,253379.76,EUR,1/29/2024,1/31/2024,,Citibank,NYSE,Trader B,Failed,US,Manual Check
TID00112,OID00112,CID5064,Buy,368,1084.32,399029.76,GBP,3/17/2024,3/19/2024,,Goldman Sachs,IEX,Trader C,Confirmed,DE,Clean
TID00113,OID00113,CID1186,Sell,484,1048.38,507415.92,USD,1/28/2024,1/30/2024,,Citibank,NYSE,Trader B,Failed,UK,Escalated
TID00114,OID00114,CID8497,Buy,901,136.13,122653.13,GBP,3/27/2024,3/29/2024,,Citibank,NYSE,Trader D,Pending,US,Escalated
TID00115,OID00115,CID8163,Buy,537,1245.22,668683.14,USD,1/3/2024,1/5/2024,,Goldman Sachs,NYSE,Trader B,Pending,UK,Escalated
TID00116,OID00116,CID6707,Buy,86,1308.42,112524.12,EUR,4/19/2024,4/21/2024,,JPMorgan,IEX,Trader A,Confirmed,US,Manual Check
TID00117,OID00117,CID5457,Sell,55,1406.57,77361.35,USD,2/23/2024,2/25/2024,,JPMorgan,NYSE,Trader A,Pending,DE,Clean
TID00118,OID00118,CID3605,Buy,934,1395.7,1303583.8,EUR,3/8/2024,3/10/2024,,Goldman Sachs,BATS,Trader D,Pending,UK,Manual Check
TID00119,OID00119,CID9648,Buy,123,1388.72,170812.56,USD,2/3/2024,2/5/2024,,Goldman Sachs,NYSE,Trader D,Confirmed,US,Reviewed
TID00120,OID00120,CID8424,Sell,271,116.36,31533.56,EUR,2/22/2024,2/24/2024,,Morgan Stanley,NYSE,Trader A,Pending,UK,Clean
TID00121,OID00121,CID2797,Sell,438,237.2,103893.6,USD,1/24/2024,1/26/2024,,Morgan Stanley,NASDAQ,Trader C,Pending,US,Escalated
TID00122,OID00122,CID5057,Buy,814,1196.08,973609.12,GBP,2/26/2024,2/28/2024,,Goldman Sachs,IEX,Trader B,Settled,UK,Clean
TID00123,OID00123,CID9624,Sell,414,921.11,381339.54,GBP,1/3/2024,1/5/2024,,JPMorgan,NASDAQ,Trader C,Pending,US,Manual Check
TID00124,OID00124,CID4378,Sell,345,1364.9,470890.5,GBP,2/9/2024,2/11/2024,,Citibank,NASDAQ,Trader C,Confirmed,UK,Clean
TID00125,OID00125,CID7338,Sell,282,233.97,65979.54,USD,3/25/2024,3/27/2024,,Citibank,NASDAQ,Trader C,Settled,UK,Escalated
TID00126,OID00126,CID4416,Sell,67,913.92,61232.64,EUR,3/9/2024,3/11/2024,,Goldman Sachs,NYSE,Trader D,Settled,US,Manual Check
TID00127,OID00127,CID5624,Buy,908,644.04,584788.32,USD,1/27/2024,1/29/2024,,Morgan Stanley,NYSE,Trader B,Settled,UK,Clean
TID00128,OID00128,CID8346,Buy,985,103.03,101484.55,EUR,2/7/2024,2/9/2024,,Morgan Stanley,IEX,Trader B,Confirmed,UK,Manual Check
TID00129,OID00129,CID1558,Buy,295,565.26,166751.7,EUR,4/13/2024,4/15/2024,,Morgan Stanley,BATS,Trader C,Failed,US,Reviewed
TID00130,OID00130,CID5934,Buy,177,501.57,88777.89,GBP,2/9/2024,2/11/2024,,Morgan Stanley,NYSE,Trader B,Settled,DE,Escalated
TID00131,OID00131,CID5730,Sell,825,446.54,368395.5,GBP,4/7/2024,4/9/2024,,Citibank,NYSE,Trader A,Pending,US,Clean
TID00132,OID00132,CID1734,Buy,913,1260.69,1151009.97,EUR,4/14/2024,4/16/2024,,Citibank,IEX,Trader B,Failed,UK,Reviewed
TID00133,OID00133,CID2349,Buy,252,1056.05,266124.6,EUR,1/18/2024,1/20/2024,,Goldman Sachs,NASDAQ,Trader D,Confirmed,UK,Clean
TID00134,OID00134,CID7901,Sell,759,1290.86,979762.74,EUR,4/11/2024,4/13/2024,,Morgan Stanley,NASDAQ,Trader C,Confirmed,US,Manual Check
TID00135,OID00135,CID7694,Buy,215,282.48,60733.2,GBP,2/8/2024,2/10/2024,,Morgan Stanley,BATS,Trader C,Confirmed,DE,Reviewed
TID00136,OID00136,CID5490,Sell,757,966.07,731314.99,EUR,3/30/2024,4/1/2024,,Citibank,NYSE,Trader A,Confirmed,DE,Escalated
TID00137,OID00137,CID6327,Sell,278,306.43,85187.54,EUR,4/5/2024,4/7/2024,,Morgan Stanley,BATS,Trader C,Failed,US,Clean
TID00138,OID00138,CID5055,Buy,466,1272.83,593138.78,GBP,3/5/2024,3/7/2024,,Morgan Stanley,BATS,Trader D,Pending,US,Clean
TID00139,OID00139,CID9212,Buy,94,116.84,10982.96,USD,3/1/2024,3/3/2024,,Goldman Sachs,NASDAQ,Trader A,Confirmed,US,Escalated
TID00140,OID00140,CID5716,Buy,375,457.03,171386.25,EUR,3/9/2024,3/11/2024,,Citibank,BATS,Trader D,Confirmed,DE,Manual Check
TID00141,OID00141,CID5828,Buy,237,1025.44,243029.28,USD,2/24/2024,2/26/2024,,Morgan Stanley,NASDAQ,Trader B,Settled,UK,Clean
TID00142,OID00142,CID8308,Sell,514,1288.23,662150.22,USD,4/24/2024,4/26/2024,,Morgan Stanley,BATS,Trader C,Failed,UK,Escalated
TID00143,OID00143,CID6681,Buy,258,224.6,57946.8,USD,2/20/2024,2/22/2024,,Morgan Stanley,NYSE,Trader B,Pending,DE,Clean
TID00144,OID00144,CID9711,Sell,697,1227.4,855497.8,USD,4/1/2024,4/3/2024,,Goldman Sachs,NYSE,Trader C,Pending,UK,Clean
TID00145,OID00145,CID7614,Buy,841,1252.12,1053032.92,USD,4/27/2024,4/29/2024,,Goldman Sachs,BATS,Trader D,Confirmed,UK,Manual Check
TID00146,OID00146,CID4574,Buy,920,647.63,595819.6,EUR,1/4/2024,1/6/2024,,JPMorgan,BATS,Trader B,Failed,UK,Escalated
TID00147,OID00147,CID8633,Sell,860,426.68,366944.8,GBP,2/23/2024,2/25/2024,,Citibank,IEX,Trader D,Failed,US,Escalated
TID00148,OID00148,CID6283,Buy,541,242.87,131392.67,EUR,3/5/2024,3/7/2024,,JPMorgan,BATS,Trader A,Failed,US,Reviewed
TID00149,OID00149,CID9297,Sell,528,152.29,80409.12,USD,2/2/2024,2/4/2024,,Morgan Stanley,IEX,Trader D,Confirmed,US,Clean
TID00150,OID00150,CID6377,Sell,35,1493.36,52267.6,EUR,4/12/2024,4/14/2024,,Morgan Stanley,NASDAQ,Trader C,Pending,DE,Clean
TID00151,OID00151,CID9819,Sell,263,1105.75,290812.25,GBP,3/22/2024,3/24/2024,,Morgan Stanley,IEX,Trader B,Failed,US,Manual Check
TID00152,OID00152,CID5143,Sell,154,1457.65,224478.1,EUR,3/21/2024,3/23/2024,,Goldman Sachs,IEX,Trader C,Confirmed,US,Escalated
TID00153,OID00153,CID1449,Sell,467,702.98,328291.66,EUR,4/27/2024,4/29/2024,,Morgan Stanley,NASDAQ,Trader C,Failed,DE,Manual Check
TID00154,OID00154,CID4757,Buy,666,976.46,650322.36,GBP,1/30/2024,2/1/2024,,Citibank,BATS,Trader D,Confirmed,US,Escalated
TID00155,OID00155,CID7593,Buy,286,781.31,223454.66,USD,2/12/2024,2/14/2024,,Morgan Stanley,NYSE,Trader C,Confirmed,UK,Clean
TID00156,OID00156,CID9458,Sell,416,1030.95,428875.2,GBP,4/4/2024,4/6/2024,,Morgan Stanley,NYSE,Trader A,Settled,UK,Manual Check
TID00157,OID00157,CID5110,Buy,69,934.01,64446.69,EUR,3/30/2024,4/1/2024,,Morgan Stanley,BATS,Trader C,Pending,DE,Escalated
TID00158,OID00158,CID1461,Sell,560,626.13,350632.8,EUR,2/24/2024,2/26/2024,,JPMorgan,NASDAQ,Trader D,Confirmed,US,Reviewed
TID00159,OID00159,CID9511,Buy,423,1426.82,603544.86,USD,4/17/2024,4/19/2024,,Morgan Stanley,NYSE,Trader D,Settled,DE,Clean
TID00160,OID00160,CID9392,Buy,162,373.99,60586.38,GBP,2/20/2024,2/22/2024,,Goldman Sachs,IEX,Trader D,Pending,US,Clean
TID00161,OID00161,CID9837,Buy,64,431.89,27640.96,EUR,2/25/2024,2/27/2024,,Morgan Stanley,NASDAQ,Trader C,Settled,UK,Manual Check
TID00162,OID00162,CID1101,Buy,465,1256.5,584272.5,EUR,1/21/2024,1/23/2024,,Citibank,NASDAQ,Trader A,Failed,DE,Manual Check
TID00163,OID00163,CID3467,Sell,718,343.72,246790.96,EUR,2/4/2024,2/6/2024,,Morgan Stanley,IEX,Trader B,Settled,US,Reviewed
TID00164,OID00164,CID6699,Buy,544,285.23,155165.12,USD,4/17/2024,4/19/2024,,Morgan Stanley,BATS,Trader C,Confirmed,DE,Manual Check
TID00165,OID00165,CID6653,Sell,515,402.88,207483.2,USD,2/1/2024,2/3/2024,,JPMorgan,NASDAQ,Trader A,Pending,US,Escalated
TID00166,OID00166,CID5106,Sell,793,812.84,644582.12,GBP,1/16/2024,1/18/2024,,Morgan Stanley,NASDAQ,Trader C,Confirmed,US,Escalated
TID00167,OID00167,CID2450,Buy,105,1359.63,142761.15,EUR,4/8/2024,4/10/2024,,Goldman Sachs,NASDAQ,Trader D,Failed,DE,Manual Check
TID00168,OID00168,CID9385,Buy,863,461.06,397894.78,GBP,4/15/2024,4/17/2024,,Goldman Sachs,IEX,Trader B,Pending,UK,Reviewed
TID00169,OID00169,CID3536,Sell,898,1337.97,1201497.06,GBP,2/4/2024,2/6/2024,,Morgan Stanley,IEX,Trader C,Pending,DE,Reviewed
TID00170,OID00170,CID6682,Buy,844,1317.02,1111564.88,EUR,3/10/2024,3/12/2024,,Goldman Sachs,IEX,Trader D,Pending,UK,Clean
TID00171,OID00171,CID6572,Buy,655,1288.51,843974.05,USD,1/28/2024,1/30/2024,,Goldman Sachs,NYSE,Trader C,Pending,US,Reviewed
TID00172,OID00172,CID1816,Buy,149,712.97,106232.53,EUR,4/8/2024,4/10/2024,,Morgan Stanley,BATS,Trader B,Settled,UK,Clean
TID00173,OID00173,CID6675,Sell,562,1246.69,700639.78,EUR,1/22/2024,1/24/2024,,Morgan Stanley,NASDAQ,Trader D,Settled,UK,Reviewed
TID00174,OID00174,CID4613,Sell,489,1396.85,683059.65,EUR,1/11/2024,1/13/2024,,Morgan Stanley,IEX,Trader D,Pending,DE,Reviewed
